,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EA,EA20,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR
2022-07-01,5.7,3.5,3.2,3.8,3.7,2.5,6.8,2.0,1.7,0.9,2.9,2.9,-1.2,4.7,6.3,2.9,0.3,1.4,8.1,3.5,6.8,7.5,4.1,1.8,-0.6,-0.7,4.6,2.1,0.5,3.8,3.2,4.8,5.0,3.5,1.0,1.9,1.6,-0.1,3.8
2022-10-01,4.7,3.2,2.7,3.1,2.8,1.9,4.5,1.0,0.8,-3.6,2.1,2.1,-4.4,4.1,4.7,1.8,-1.5,1.2,3.7,0.1,7.2,9.2,2.2,0.1,-3.3,-0.3,5.1,2.2,2.4,3.6,2.0,1.0,3.8,4.7,0.8,-0.9,0.9,-0.1,3.4
2023-01-01,3.9,2.8,2.2,2.5,2.4,1.9,2.7,0.3,-0.4,2.9,1.3,1.3,-4.3,2.1,3.6,1.2,-0.3,1.4,2.3,-1.4,1.5,9.5,2.2,-1.1,-0.5,0.2,5.7,1.1,10.0,1.7,2.4,-1.2,3.6,1.6,2.4,0.7,1.9,0.8,3.2
2023-04-01,4.9,-1.3,1.9,1.3,2.0,0.6,2.9,0.2,-0.6,-0.1,0.6,0.6,-3.1,3.1,2.0,0.4,-0.5,1.9,3.5,-2.3,-0.6,8.8,0.7,2.0,0.5,-0.9,4.7,1.7,10.9,-1.0,0.2,-0.7,3.7,2.7,2.9,-0.9,2.6,2.2,5.9
2023-07-01,4.0,-1.8,2.4,0.5,1.8,0.5,2.5,-0.3,-0.9,-1.8,0.1,0.1,-3.0,2.2,2.0,0.1,-1.8,1.6,2.4,0.2,-5.0,3.3,0.5,1.1,0.6,-1.3,7.5,2.5,11.6,-1.7,-3.0,0.6,2.6,3.2,5.0,0.0,2.8,2.8,5.6
2023-10-01,3.3,-2.2,1.5,0.6,1.6,0.6,2.9,0.5,-0.8,1.5,0.2,0.2,-0.8,1.9,2.2,0.3,-1.2,1.6,5.1,0.8,-6.1,-0.4,0.9,1.4,-0.3,-2.3,6.4,2.7,9.9,-1.3,1.2,1.9,2.6,2.1,5.1,0.3,3.0,2.9,5.6
2024-01-01,4.1,-2.0,2.4,0.8,2.0,0.4,3.8,0.5,-0.5,0.8,0.5,0.5,0.0,2.2,2.9,0.6,-0.9,1.7,4.5,1.3,-2.8,-1.3,0.3,3.1,2.4,-2.2,5.9,,8.3,-0.7,1.3,1.7,1.9,2.0,4.5,-0.1,3.1,3.0,6.5
2024-04-01,3.8,-1.0,2.3,1.0,2.4,1.8,3.3,0.5,-0.6,3.9,0.5,0.5,0.0,2.1,3.7,0.7,-0.7,1.0,3.3,1.3,-3.0,-1.8,0.6,1.9,0.8,-0.5,4.4,,8.2,0.8,4.0,3.9,2.0,0.7,4.4,0.5,1.1,2.2,2.2
2024-07-01,4.0,-0.6,2.7,1.2,2.8,1.7,3.8,1.5,-0.6,4.9,0.9,0.9,0.0,2.3,3.6,1.1,1.6,1.1,4.2,-0.5,4.6,1.0,0.5,2.8,-1.9,0.2,3.4,,5.5,2.0,3.3,2.1,2.1,0.2,3.3,0.9,1.4,1.6,1.9
2024-10-01,4.3,0.3,2.5,1.1,3.4,1.6,3.0,1.9,-0.2,4.2,1.3,1.3,-0.4,2.5,3.7,1.5,1.7,0.6,3.7,0.1,11.9,-1.8,0.5,4.1,0.1,1.2,1.6,,5.4,2.2,-0.2,3.9,2.6,0.4,3.3,1.9,1.1,1.4,2.4
2025-01-01,3.7,0.4,1.6,1.1,3.3,2.3,3.1,2.4,0.2,2.4,1.6,1.6,-0.3,2.2,3.2,1.7,1.0,0.6,3.2,-0.3,18.3,2.1,0.7,3.0,-1.9,1.4,2.5,,4.8,2.5,-0.6,3.7,1.7,0.7,1.9,0.7,-0.6,0.8,2.4
2025-04-01,,0.5,,1.0,3.4,1.5,3.3,2.6,0.2,1.6,1.5,1.5,0.5,1.7,3.1,1.6,0.2,0.8,3.2,0.3,18.0,-0.7,0.4,3.2,-0.2,1.1,,,2.3,1.6,-1.3,3.0,1.8,2.1,2.0,1.6,0.7,0.7,
